Name,Address,Phone,Website,Type,Directions
African Palace,"117 N Frederick Ave, Gaithersburg, MD 20877",3019265244,,Restaurant,https://goo.gl/maps/tr862ikDoq9cJYKaA
Bete Ethiopian Cuisine & Cafe,"811 Roeder Rd, Silver Spring, MD 20910",3015882225,https://www.beteethiopia.com/,Restaurant,https://goo.gl/maps/VZgtdpcce6jgtZV79
Erta Ale Ethiopian Restaurant,"2310 Price Ave, Wheaton, MD 20902",12402213349,,Restaurant,https://goo.gl/maps/aWcwzabrJc9MU9og6
Heavenly Wings,"9331 Georgia Ave, Silver Spring, MD 20910",2406607558,,Restaurant,https://goo.gl/maps/hJv37Dk7kB6Phqq9A
Aburi Gardens International Restaurant,"14830 Build America Dr, Woodbridge, VA 22191",7034901100,,Restaurant,https://goo.gl/maps/hfqCvMjo8HRDHoJ87
Betanya Ethiopian Market & Café,"14827 Build America Dr, Woodbridge, VA 22191",7034911465,,Restaurant,https://goo.gl/maps/Z7bPFzRmoLoEL7FL6
Irie Caribbean American,"14561 Jefferson Davis Hwy, Woodbridge, VA 22191",7034999995,http://iriecaribbeanfood.com/,Restaurant,https://goo.gl/maps/JcXAGjJakBsxeMcB6
Le Bon Grill African Restaurant,"1972 Daniel Stuart Square, Woodbridge, VA 22191",7034998010,,Restaurant,https://goo.gl/maps/1dvXAKGYsTV9ftKt8
Makola International Market,"7856 Richmond Hwy, Alexandria, VA 22306",7037993865,,Grocery Store,https://goo.gl/maps/qVzD3g8kdY4ENbak8
Rainbow African Restaurant,"E Diamond Ave, Gaithersburg, MD 20877",3019470099,http://www.rainbowafricanfood.com/,Restaurant,https://goo.gl/maps/vJFUvvFApn1BiEj39
Savanna International Market,"117 N Frederick Ave, Gaithersburg, MD 20877",3019211866,,Grocery Store,https://goo.gl/maps/zhV1gATAvKpsqtJN8
Cape Coast Cuisine,"4939 Harford Ave, Beltsville, MD 20705",3019376200,,Restaurant,https://goo.gl/maps/Df9rHvQKbv1m3nA98
Obeng International Foods,"1309 5th St NE, Washington, DC 20002",7034938904,,Grocery Store,https://goo.gl/maps/sJ4CFqQxnVYix6kAA
Birago International Markets,"4357 Dale Blvd, Dale City, VA 22193",7036702744,,Grocery Store,https://goo.gl/maps/4DKip7hDcamEaZBL6
Sheba Ethiopian Restaurant,"5071 Nicholson Ln, North Bethesda, MD 20852",3018818882,,Restaurant,https://goo.gl/maps/NB5diFQad4K8VHzX6
All African Food,"18525 N Frederick Ave, Gaithersburg,MD 20879",3015404100,,Grocery Store,https://goo.gl/maps/oDfEKwL7PqTsGKUQA
Kumasi Supermarket,"14790 Build America Dr, Woodbridge, VA 22191",17034964796,,,https://goo.gl/maps/ALgt84rYHZ1vRY8HA
Global Food Warehouse,"14823 Build America Dr, Woodbridge, VA 22191",7034921447,,Grocery Store,https://goo.gl/maps/WjPaFdPGnxhWBkMx9
Rahama Halal Supermarket,"1420 Old Bridge Rd, Woodbridge, VA 22192",5713982786,,Grocery Store,https://goo.gl/maps/No5XTTkW3Dpo2mZPA
Tropical Ice Cream Cafe,"9324 Georgia Ave, Silver Spring, MD 20910",3015892138,,Restaurant,https://goo.gl/maps/XSY7vteC3xDHP9rZ8
Kaldi's Social House,"918 Silver Spring Ave, Silver Spring, MD 20910",2403600006,https://www.kaldissocial.com/,Restaurant,https://goo.gl/maps/TdzHBMt33RtYZcc8A
Beteseb Restaurant,"8201 Georgia Ave, Silver Spring, MD 20910",3014481625,http://betesebrestaurant.com/,Restaurant,https://goo.gl/maps/tGpQGd5bacN9zZx58
Roger Miller Restaurant,"941 Bonifant St, Silver Spring, MD 20910",3015627050,,Restaurant,https://goo.gl/maps/wbhafASMKHK8P6h36
Lesaac Ethiopian Cafe,"8200 Fenton St, Silver Spring, MD 20910",3015659595,http://www.lesaac.com/,Restaurant,https://goo.gl/maps/DApfAx3xo93gfhcw5
Abol Ethiopian Cuisine,"8626 Colesville Rd, Silver Spring, MD 20910",3016500061,http://www.abolrestaurant.com/,Restaurant,https://goo.gl/maps/tB4prueEewek9H6K7
Rohobot Ethiopian Restaurant,"7833 Eastern Ave NW, Silver Spring, MD 20910",3016507595,https://www.rohobotrestaurant.com/,Restaurant,https://goo.gl/maps/V4wMDJovWhFSZWXT6
Enebla,"7849 Eastern Ave NW, Silver Spring, MD 20910",3013264023,https://eneblaethiopianrestaurant.com/,Grocery Store,https://goo.gl/maps/4tLybnvwyFGr8aYQ8
